"No.","Full Name","Pos.","Academic Year","Ht.","Hometown / High School"
"1","Sachi Urushima","G","So.","5-2","Burlingame, Calif. / Pinewood"
"3","Ciara Lu","G","Jr.","5-5","Fremont, Calif. / Mission San Jose"
"4","Andi Martinez","G","Jr.","5-8","Newport Beach, Calif / Pacifica Christian"
"5","Emerson Ludwick","F","So.","6-2","Seattle, Wash. / Bishop Blanchet"
"8","Sydney Teoh","G","Fr.","5-4","Sacramento, Calif / St. Francis Catholic"
"11","Kira Watanabe","PG","So.","5-0","Irvine, Calif. / Portola"
"14","Aidan Sherfey","F","Sr.","5-10","Whittier, Calif. / Whittier Christian"
"20","Trinity Barretto","G","Sr.","5-3","Mililani, Hawaii / Robert G. Cole"
"21","Kali Cajala","F","Sr.","5-8","Oceanside, Calif. / El Camino"
"22","Darcy McCoy","G","So.","5-5","Sammamish, Wash. / Eastlake"
"23","Maile Nakaji","G","Jr.","5-5","Redondo Beach, Calif. / Mira Costa"
"24","Jemma Lacap","G","So.","5-7","San Francisco, Calif. / Crystal Springs Uplands"
"25","Layla Woods","F","Jr.","5-10","San Jose, Calif / Archbishop Mitty"
"33","Makena Nitao","G","Jr.","5-5","Foster City, Calif. / Hillsdale"
"35","Ava Dominguez","C","Jr.","6-0","Fullerton, Calif / Rosary"
"41","Hana Speaks","F","Jr.","5-10","Temple City, Calif. / Marlborough"
"50","Hanna Harvey","F","Jr.","6-4","Salinas, Calif. / Monte Vista"
